Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation,Difference
USA,FL,2018,6,Male,12,Right-Handed,179.95247933884298,60,162.30165289256198,1,Boat,100,0.39,32.0,Soccer,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,578,Right foot,89.0,64,Index finger,August,Summer,No,No,Pizza/Pasta,Soft drink (caffeinated),Mathematics and statistics,9,0,3,Yes - other,Cell phone,0,1,100,0,10000,0,1000,10000.0,1000.0,1000,1000,1000,0.0,5.0,,Some college,Punk rock,Invisibility,Rich,Other,"Wildlife, animals",4940.0
USA,FL,2022,11,Male,16,Ambidextrous,179.95247933884298,17,162.30165289256198,4,Car,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725.0
USA,FL,2018,12,Female,17,Right-Handed,179.95247933884298,25.5,162.30165289256198,1,Car,10,0.54,44.0,Other,797.0,652.0,348.0,337.0,797.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.0
USA,AL,2023,12,Male,18,Right-Handed,179.95247933884298,27,162.30165289256198,1,Car,15,.446,42,Baseball/Softball,0,0,0,0,0,0,26,Same length,3.5,3.2,Ring finger,January,Winter,No,No,Meat,Water,Other,5,8,5,Yes - other,Text messaging,100,200,2,0,1,1,4,0,1,1,2,2,8,1,A lot,High school,Rock and roll,Telepathy,Happy,Other,Other,451.0
USA,AL,2021,12,Male,18,Ambidextrous,179.95247933884298,10.5,162.30165289256198,1,Car,20,.38,55,,100,100,100,100,50,80,10.5,Same length,3,3,Same length,January,Fall,No,No,Meat,Water,Social studies,8,8,4,Yes - other,In person,idk,idk,3,2,2,3,2,4,4,4,6,3,15,2,Very little,High school,Rap/Hip hop,Telepathy,,Business person,Health,448.0
USA,AL,2022,12,Male,18,Right-Handed,179.95247933884298,35,162.30165289256198,1,Car,10,0.863,69,Baseball/Softball,50,50,80,80,90,90,15,Right foot,6,6,Same length,February,Summer,Yes,No,Meat,Soft drink (caffeinated),History,6,8,4,Yes - broadband connection,Text messaging,8,12,10,8,8,4,10,6,6,6,6,6,6,6,Some,Graduate degree,,Telepathy,Happy,Sports person,Education/Youth development,439.0
USA,MA,2019,11,Male,17,Right-Handed,179.95247933884298,24,162.30165289256198,1,Car,10,1,1,Hockey (Ice),0,100,0,0,1000,1000,24,Same length,120,120,Same length,July,Fall,No,No,Meat,Water,History,6-7,10+,2,Yes - broadband connection,Text messaging,30,30,5,.2,.5,2,3,32,20,5,6,2,0,0,Some,Undergraduate degree,Rap/Hip hop,Freeze time,Happy,Other,Health,438.0
USA,AL,2023,12,Male,18,Left-Handed,179.95247933884298,26,162.30165289256198,2,Car,8,0.30,46,Football (American),700,600,1000,600,500,1000,27,Same length,90,110,Ring finger,November,Summer,No,No,Pizza/Pasta,Water,Physical education,4hrs,6hrs,4,Yes - broadband connection,Text messaging,10,4,3,0,0,1,1,0,1,0,3,2,0,1,A lot,Some college,Rap/Hip hop,Invisibility,Rich,Sports person,Health,429.0
USA,FL,2019,6,Female,11,Right-Handed,179.95247933884298,7,162.30165289256198,2,Car,26,4.0,3.0,Swimming,1000.0,1000.0,1000.0,1000.0,450.0,240.0,7,Same length,60.0,63 1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.0
USA,FL,2015,7,Female,12,Ambidextrous,179.95247933884298,95,162.30165289256198,1,Car,25,1.555,70.0,Lacrosse,999.0,999.0,999.0,999.0,999.0,999.0,95,Same length,300.0,250,Index finger,August,Summer,No,No,No favorite,Water,,7,11,5,Yes - other,"Myspace, Facebook, other social networking sites, or blog",0,3,12,0,4,0,9,3.0,3.0,2,4,4,0.0,1.0,Some,Some college,Country,Telepathy,Famous,Sports person,"Arts, culture, sports",410.0
USA,AL,2022,12,Female,17,Right-Handed,179.95247933884298,149,162.30165289256198,2,Car,20,0.572,38,Soccer,0,781,1000,1000,0,800,149,Same length,4,3,Index finger,March,Spring,No,No,Other,Water,Physical education,6,6,7,Yes - dial-up connection,Text messaging,7,2,20,2,1,2,0,0,0,1,1,2,2,0,A lot,High school,Rap/Hip hop,,Rich,Business person,Environment,381.0
USA,AL,2023,12,Male,18,Right-Handed,179.95247933884298,27.6,162.30165289256198,1,Car,15,0.289,42,Golf,647,219,374,503,332,611,27.1,Right foot,70,80,Ring finger,January,Spring,No,No,Meat,Tea,Science,4-6,4-6,6,Yes - broadband connection,Cell phone,40-50,40-50,5,80,2,8,13,50,12,12,40,3,25,6,A lot,High school,Country,Fly,Happy,Relative,"Wildlife, animals",345.0
USA,AL,2023,12,Male,18,Left-Handed,179.95247933884298,9,162.30165289256198,1,Car,7, 0.28,40,Basketball,0,200,890,999,0,1000,9,Same length,9.5,9.5,Same length,December,Summer,No,No,Fruit,Tea,Physical education,6,9,3,Yes - broadband connection,Cell phone,4,4,0,12,0,0,0,5,0,10,12,9,6,0,,Graduate degree,Rhythm and blues (R&B),Fly,Rich,Sports person,"Wildlife, animals",337.0
USA,AL,2023,12,Male,17,Right-Handed,179.95247933884298,25.4 ,162.30165289256198,1,Car,10 ,1.202,65,Soccer,500,300,700,600,0,600,,Same length,8,7 1/2,Index finger,March,Summer,No,No,Other,Water,Other,5-6 ,7-9,4,Yes - broadband connection,Text messaging,20,22,6-7,0,1,4-5,5-6,3-4,4,1,8-9,1,7,1,Very little,Some college,Rap/Hip hop,Fly,Rich,Coach or club leader,Education/Youth development,332.0
USA,AL,2023,12,Male,19,Right-Handed,179.95247933884298,10,162.30165289256198,1,Car,10,0.684,56,Football (American),500,408,300,400,200,1000,10,Same length,21,8,Index finger,October,Summer,No,No,Seafood,Tea,Mathematics and statistics,8,7,2,Yes - broadband connection,Text messaging,35,35,6,10,0,64,18,10,12,24,10,48,0,64,A lot,Graduate degree,Rap/Hip hop,Fly,Rich,Actor,Religious,331.0
USA,AL,2023,12,Male,19,Right-Handed,179.95247933884298,10,162.30165289256198,1,Car,10,0.684,56,Football (American),500,408,300,400,200,1000,10,Same length,21,8,Index finger,October,Summer,No,No,Seafood,Tea,Mathematics and statistics,8,7,2,Yes - broadband connection,Text messaging,35,35,6,10,0,64,18,10,12,24,10,48,0,64,A lot,Graduate degree,Rap/Hip hop,Fly,Rich,Actor,Religious,331.0
USA,MA,2018,12,Male,18,Right-Handed,179.95247933884298,10,162.30165289256198,1,Car,15min,0.455,46,Athletics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.0
USA,AL,2023,12,Male,19,Right-Handed,179.95247933884298,10,162.30165289256198,1,Car,10,0.684,56,Football (American),500,408,300,400,200,1000,10,Same length,21,8,Index finger,October,Summer,No,No,Seafood,Tea,Mathematics and statistics,8,7,2,Yes - broadband connection,Text messaging,35,35,6,10,0,64,18,10,12,24,10,48,0,64,A lot,Graduate degree,Rap/Hip hop,Fly,Rich,Actor,Religious,331.0
USA,AL,2022,12,Female,18,Left-Handed,179.95247933884298,23,162.30165289256198,1,Car,10,0.325,56,Other,1000,1000,500,500,900,1000,25,Left foot,70,60,Index finger,August,Summer,No,No,Pizza/Pasta,Water,Other,4,8,3,Yes - broadband connection,Internet chat or instant messaging,50,100,10,20,5,5,10,4,2,3,5,5,0,5,A lot,Some college,Pop,Freeze time,Happy,Relative,Environment,328.0
USA,AL,2023,12,Male,18,Right-Handed,179.95247933884298,10.5,162.30165289256198,1,Car,40,0.343,68,Other,652,658,856,1000,898,925,10.5,Left foot,95,75,Ring finger,February,Spring,Yes,No,Desserts,Soft drink (caffeinated),Other,7,9,3,Yes - other,Internet chat or instant messaging,0,1,3,1,1,1,2,5,7,8,16,0,8,1,Some,High school,Classical,Telepathy,Famous,Friend,"Arts, culture, sports",323.0
USA,AL,2023,12,Female,18,Right-Handed,179.95247933884298,25 c,162.30165289256198,1,Car,8,0.44,33,Baseball/Softball,936,711,1000,572,738,1000,,,,,,,,,,,,,6,3,2,Yes - other,"Myspace, Facebook, other social networking sites, or blog",5,2,10 ,10,6,15,4,4,8,12 ,13,7,13,17,A lot,,Other,Telepathy,Healthy,Business person,"Wildlife, animals",261.0
USA,MA,2023,12,Female,17,Right-Handed,179.95247933884298,24.1,162.30165289256198,1,,30,0.344,52,Dancing,100,100,100,100,100,100,24.6,Left foot,100,74,Index finger,January,Fall,No,No,Rice/Noodle dishes,Coffee,History,7,12,5,Yes - other,"Myspace, Facebook, other social networking sites, or blog",2,7,3,3,7,2,7,0,8,5,8,0,0,0,Some,Other,Techno/Electronic,Telepathy,Happy,Other,Education/Youth development,171.0
USA,AL,2022,12,Female,16,Right-Handed,179.95247933884298,19.05,162.30165289256198,1,Car,10 ,0.352,34,Dancing,354,358,631,957,658,1000,19,Right foot,76.2,60,Index finger,May,Summer,No,No,Pizza/Pasta,Sports drink,Other,5,4,2,Yes - other,Text messaging,50,60,60,10,3,5,1,6,10,24,30,5,0,0,A lot,Some college,Rap/Hip hop,Invisibility,Happy,Friend,"Wildlife, animals",165.0
USA,FL,2019,12,Male,17,Right-Handed,179.95247933884298,27,162.30165289256198,1,Car,15,0.749,58.0,Football (American),800.0,700.0,900.0,750.0,700.0,1000.0,27,Same length,100.0,90,Index finger,February,Spring,No,No,Desserts,Juice,Mathematics and statistics,8,6,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",200,200,,,,,,,,,,,,,Some,Graduate degree,Rap/Hip hop,Freeze time,Rich,Friend,Health,160.0
USA,MA,2018,11,Male,18,Right-Handed,179.95247933884298,27.5,162.30165289256198,1,Car,3,.29,44,Basketball,800,700,800,850,700,999,27.5,Same length,80,90,Ring finger,July,Summer,No,No,Breads/Sandwiches,Water,History,6,7,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",50,70,15,1,1,3,7,10,10,1,5,10,0,0,Some,Graduate degree,Rap/Hip hop,Telepathy,Rich,Other,"Wildlife, animals",159.9
USA,AL,2022,12,Female,17,Right-Handed,179.95247933884298,25.9,162.30165289256198,one,Car,5,0.45,49,Baseball/Softball,668,668,155,465,43,342,25.9,Same length,2.87,2.45,,June,Summer,No,No,Fruit,Water,History,7-8,7-9,5,Yes - other,Text messaging,8,3,0,30 m,1 hr,1 hr,,,,,,,,,,,,,,,,158.5
USA,AL,2022,12,Female,17,Right-Handed,179.95247933884298,25.9,162.30165289256198,one,Car,5,0.45,49,Baseball/Softball,668,668,155,465,43,342,25.9,Same length,2.87,2.45,,June,Summer,No,No,Fruit,Water,History,7-8,7-9,5,Yes - other,Text messaging,8,3,0,30 m,1 hr,1 hr,4 hr,0,2 hr,1 hr,1 hr,0,0,0,Very little,Graduate degree,Rhythm and blues (R&B),Invisibility,Happy,Relative,Health,158.5
USA,MA,2022,11,Male,18,Ambidextrous,179.95247933884298,26.5,162.30165289256198,2,Car,3, 0.33,50,Athletics,0,0,0,0,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0
USA,AL,2023,12,Male,17,Right-Handed,179.95247933884298,188,162.30165289256198,1,Car,15,0.372,60,Walking/Hiking,900,100,800,1000,400,500,30,Same length,7.62,6,Same length,July,Summer,No,No,Rice/Noodle dishes,Water,Other,6,9,4,Yes - other,Cell phone,10,8,0,30,0,0,40,30,30,30,30,30,0,0,Some,High school,Other,Freeze time,Healthy,Friend,Other,153.0
USA,AL,2022,12,Female,17,Left-Handed,179.95247933884298,26.7,162.30165289256198,1,Car,20,25,42,Athletics,1000,1000,1000,1000,1000,1000,26.7,Same length,3.2,3.4,Index finger,July,Summer,No,No,Meat,Water,Science,2,2,3,Yes - broadband connection,Cell phone,25,21,8,5,2,4,7,7,5,9,3,2,1,1,A lot,High school,Rhythm and blues (R&B),Super strength,Happy,Friend,Health,152.1
USA,AL,2018,12,Male,18,Right-Handed,179.95247933884298,27,162.30165289256198,1,Car,15,0.317,50,Athletics,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0
USA,AL,2022,12,Male,19,Right-Handed,179.95247933884298,25,162.30165289256198,2,Car,15,2.6,30,Walking/Hiking,500,500,500,800,400,800,25,Same length,76,75,Ring finger,February,Fall,No,No,Meat,Water,History,7,10,4,Yes - broadband connection,Text messaging,0,0,0,0,2,0,0,6,0,0,0,6,0,0,Some,Some college,Rap/Hip hop,Freeze time,Rich,Sports person,Education/Youth development,150.8
USA,FL,2021,12,Female,17,Right-Handed,179.95247933884298,26,162.30165289256198,1,Car,5,0.447,37.0,Rowing,481.0,583.0,872.0,775.0,64.0,658.0,26,Left foot,70.0,75,Index finger,February,Fall,No,No,Meat,Soft drink (caffeinated),History,7,8,4,Yes - broadband connection,Text messaging,150 ,150 ,10,5,15,100,10,0.0,0.0,4,130 ,5,4.0,1.0,A lot,Graduate degree,Other,Fly,Happy,Relative,Education/Youth development,147.0
USA,MA,2018,12,Female,17,Right-Handed,179.95247933884298,8,162.30165289256198,2,Bus,12,0.536,33,,900,500,100,60,120,997,8,Same length,2,2,Same length,June,Winter,Yes,No,Desserts,Water,History,8,8,5,Yes - broadband connection,Text messaging,23,18,8,2,56,0,0,20,72,56,100,11,0,15,Some,Graduate degree,Rhythm and blues (R&B),Invisibility,Happy,Actor,"Wildlife, animals",145.5
USA,FL,2021,12,Female,17,Right-Handed,179.95247933884298,9,162.30165289256198,2,Car,10,0.347,43.0,Tennis,1000.0,1000.0,1000.0,1000.0,500.0,500.0,9,Same length,30.0,25,Same length,April,Spring,No,No,Salads,Water,History,8,9,3,Yes - other,Cell phone,30,40,15,10,15,15,10,0.0,30.0,30,20,20,0.0,5.0,A lot,Undergraduate degree,Pop,Telepathy,Healthy,Relative,"Wildlife, animals",140.1
USA,MA,2018,12,Male,18,Right-Handed,179.95247933884298,38,162.30165289256198,2,Car,17,1.04,103,Soccer,1000,1000,500,500,500,1000,50,Left foot,60,90,Index finger,January,Summer,No,No,Meat,Coffee,Physical education,6,10,4,Yes - dial-up connection,Text messaging,150,200,1,4,0,2,2,1,2,1,0,0,8,3,Some,Some college,Other,Invisibility,Rich,Sports person,International aid,136.0
USA,FL,2015,11,Female,16,Right-Handed,179.95247933884298,16,162.30165289256198,1,Bus,30,0.324,34.0,Other,10.0,10.0,10.0,99.0,1000.0,1000.0,15,Right foot,9.0,11,Ring finger,October,Fall,Yes,No,Seafood,Water,Music,5,10,4,Yes - broadband connection,Text messaging,100,150,3,2,1.5,4,0,0.0,1.0,5,1,1,6.0,1.0,Some,Graduate degree,Gospel,Invisibility,Rich,Religious figure,Education/Youth development,135.0
USA,FL,2016,7,Male,12,Right-Handed,179.95247933884298,24,162.30165289256198,3,Car,15,,,Other,2.0,3.0,1.0,5.0,4.0,5.0,22,,65.0,70,Ring finger,December,Fall,No,No,Other,Soft drink (non-caffeinated),History,6,10,5,Yes - broadband connection,In person,0,0,0,2,20,4,2,8.0,0.0,0,10,3,4.0,6.0,A lot,Other,Classical,Invisibility,Happy,Relative,Other,135.0
USA,FL,2019,6,Female,12,Left-Handed,179.95247933884298,97.3,162.30165289256198,2,Car,37,0.3,60.0,Other,100.0,70.0,20.0,80.0,70.0,10.0,106.6,Same length,2.6,2.56,Index finger,January,Winter,Yes,No,No favorite,Tea,Art,6,11,4,Yes - other,In person,5,3,4,.5,9,6,3,7.0,5.0,1,15,3,0.0,5.0,Some,Graduate degree,Techno/Electronic,Freeze time,,Other,"Wildlife, animals",134.6
USA,MA,2017,8,Male,14,Right-Handed,179.95247933884298,15,162.30165289256198,2,Car,10,.391,51,Other,238,534,256,1000,1000,1000,25,Right foot,35,53,Index finger,December,Summer,Yes,No,Meat,Sports drink,Music,10,12,4,Yes - dial-up connection,In person,30,25,5,1,4,5,9,7,8,4,7,7,4,6,Some,Graduate degree,Other,Invisibility,Rich,Relative,Other,132.0
USA,AL,2023,12,Male,18,Right-Handed,179.95247933884298,30,162.30165289256198,1,Car,20,0.651,43,Basketball,497,1000,1000,781,428,791,30,Same length,,82,Same length,December,Winter,Yes,No,Meat,Water,History,5,8,3,Yes - other,Cell phone,4,8,15,2,0,12,40,3,1,1,30,1,0,20,Some,High school,Rap/Hip hop,Fly,Happy,Relative,Health,131.0
USA,MA,2018,12,Female,17,Right-Handed,179.95247933884298,25,162.30165289256198,2,Car,15,.461,41,Golf,500,800,500,500,1000,1000,25,Left foot,10,10,Index finger,April,Summer,No,No,Rice/Noodle dishes,Soft drink (caffeinated),English,7,11,4,Yes - other,Text messaging,20,20,4,2,20,5,3,10,10,4,10,10,0,0,Some,Graduate degree,Pop,Telepathy,Happy,Relative,Health,130.0
USA,FL,2013,12,Male,17,Right-Handed,179.95247933884298,26,162.30165289256198,2,Car,20,0.296,33.0,Football (American),894.0,573.0,391.0,954.0,471.0,687.0,25,Right foot,72.0,79,,September,Fall,Yes,No,Meat,Juice,History,6,9,4,Yes - broadband connection,In person,0,0,6,0.5,8,10,5,20.0,5.0,2,6,12,0.0,2.0,A lot,Graduate degree,Rock and roll,Fly,Happy,Community leader or elder,Education/Youth development,129.0
USA,AL,2023,12,Male,17,Right-Handed,179.95247933884298,12,162.30165289256198,1,Car,10,19ms,60,Athletics,733,633,561,581,743,733,30,Same length,11,11,Same length,June,Summer,No,No,Rice/Noodle dishes,Water,Science,6,11,4,Yes - broadband connection,Text messaging,30,45,24,6,4,4,4,9,12,12,10,0,24,2,Some,Graduate degree,Rap/Hip hop,Telepathy,Famous,Actor,"Wildlife, animals",129.0
