Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,AL,2023,"12        ",Female,17,Right-Handed,152cm,15cm,152cm,1,Car,"15 "," 0.35",58,Dancing,551,251,631,503,0,214,18cm,"Left foot",17,18,"Index finger",July,Summer,No,No,Seafood,"Soft drink (caffeinated)",English,7,10,7,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",67,80,0,74+,0,15,0,0,40,40,5,5,22,5,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Happy,Other,Health
USA,AL,2023,"12        ",Female,18,Right-Handed,165,25,152,2,Car,45,0.819,51,Walking/Hiking,100,85,100,80,60,60,25.6,"Left foot",76.2,76.2,"Same length",December,Summer,Yes,No,Fruit,Water,Art,8,10,3,"Yes - broadband connection","In person",15,20,15,5,2,15,10,0,10,5,20,8,15,5,Some,"Undergraduate degree",Reggae,Fly,Happy,Actor,Environment
USA,AL,2023,"12        ",Female,17,Right-Handed,167,25,170,1,Car,10,0.545,29,Other,1000,872,497,786,337,380,27,"Left foot","5 1/2",5,"Index finger",March,Spring,Yes,No,Desserts,Tea,History,5,12,4,"Yes - broadband connection","Text messaging",20,15,15,2,2,20,1,35,1,1,15,4,1,2,"Very little","Undergraduate degree","Rock and roll",Invisibility,Healthy,"Musician or singer","Wildlife, animals"
USA,AL,2015,"12        ",Male,17,Ambidextrous,182.9,28,170,2,Walk,10,.827,48,"Football (American)",,,,,,,28,"Same length",80,77,"Index finger",August,Winter,No,No,Poultry,Water,Other,7.5,9,9,"Yes - other","In person",0,0,2,0,1,2,2,2,0,0,4,1,0,1,"A lot","Graduate degree",Other,Invisibility,Healthy,"Coach or club leader",Religious
USA,AL,2022,"12        ",Male,18,Ambidextrous,182.8,28,188,1,Car,20min,.31,34,"Football (American)",500,300,300,300,900,1000,28,"Same length",80,79,"Index finger",January,Fall,Yes,No,Meat,Tea,Other,7,8,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",20,50,12,15,0,10,5,0,15,1,20,10,0,0,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,"Business person","Arts, culture, sports"
USA,AL,2015,"12        ",Male,17,Right-Handed,167.6,29,167.6,2,Car,8,0.7,51,Skateboarding/Rollerblading,500,200,1000,1000,800,1000,29,"Same length",90,100,"Ring finger",June,Winter,No,No,Meat,"Soft drink (caffeinated)",History,6,9,5,"Yes - broadband connection","Text messaging",250,250,5,0,2,1,1,0,5,10,5,0,40,6,Some,"Some college","Rhythm and blues (R&B)","Freeze time",Happy,"Musician or singer","International aid"
USA,AL,2021,"12        ",Female,17,,160,21.5,162,2,"Rail (Train/Tram/Subway)",30,0.356,37,Other,508,540,717,647,941,1000,22,"Left foot",80,85,"Ring finger",November,Fall,Yes,No,Poultry,Water,"Mathematics and statistics",8,9,4,"Yes - broadband connection","Internet chat or instant messaging",300,200,40,0.5,20,20,0.5,6,42,30,42,1,0,0,Some,"High school",Pop,Telepathy,Rich,Actor,"Wildlife, animals"
USA,AL,2015,"12        ",Female,17,Right-Handed,158,24,152,1,Car,7,.745,50,Running/Jogging,,,,,,,27,"Right foot",65,75,"Ring finger",June,Summer,Yes,No,Salads,Water,Art,6,7,2,"Yes - other","Text messaging",250,200,4,1,8,1,5,0,5,20,2,0,7,3,"A lot","Graduate degree","Rap/Hip hop",Fly,Healthy,Other,"International aid"
USA,AL,2022,"12        ",Female,18,Left-Handed,160,24,164,1,Car,"11 ",.45,48,Walking/Hiking,900,1000,150,350,1000,500,24,"Same length",80,70,"Ring finger",September,Fall,No,No,Pizza/Pasta,"Sports drink",History,4,13,4,"Yes - other","Internet chat or instant messaging",30,40,5,1,10,0,0,2,30,3,40,20,35,7,"A lot","Some college","Rap/Hip hop",Invisibility,Happy,"Business person",Health
USA,AL,2023,"12        ",Male,18,Right-Handed,5'7,26.5,170,1,Car,15,0.402,46,Golf,500,500,500,0,700,1000,26.5,"Same length",80,60,"Index finger",October,Fall,No,No,Meat,Water,"Physical education",7,10,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",20,20,10,3,0,6,6,3,9,2,5,5,20,0,"A lot","Graduate degree","Rap/Hip hop","Super strength",Happy,"Business person","Arts, culture, sports"
USA,AL,2023,"12        ",Female,17,Right-Handed,156.2,34.29,149.8,1,Car,27,1.086,37,None,1000,900,1000,1000,900,1000,22.86,"Right foot",72.5,71.5,"Ring finger",August,Fall,Yes,No,Pizza/Pasta,Water,English,5,9,3,"Yes - other","Internet chat or instant messaging",12,46,5,7,15,9,0,7,3,16,16,7,0,7,Some,"Graduate degree",Pop,"Freeze time",Happy,Relative,Environment
USA,AL,2021,"12        ",Male,17,Right-Handed,155,26.8,154,2,Car,4,.491,19,None,500,100,700,500,500,500,26.7,"Right foot",53,51,"Index finger",August,Winter,No,No,Meat,Water,Science,6,9,3,"Yes - broadband connection","Internet chat or instant messaging",50,70,20,10,7,5,10,15,3,4,10,0,21,5,"A lot","Graduate degree","Rap/Hip hop",,Rich,Relative,Environment
USA,AL,2022,"12        ",Male,18,Left-Handed,"193 ",35.56,192,1,Car,10,".375 ",35,Bowling,717,1000,845,856,1000,1000,35.56,"Same length",80,80,"Same length",November,Fall,No,No,Meat,Water,History,7,9,4,"Yes - broadband connection","Text messaging",12,,3,3,2,3,0,30,5,1,35,0,15,1,Some,"Graduate degree","Rock and roll","Freeze time",Happy,Relative,"Education/Youth development"
