Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,FL,2021,"12        ",Male,17,Right-Handed,182,26,188,2,Car,25,0.399,41,Soccer,690,690,690,690,1000,1000,26,"Same length",85,83,"Index finger",December,Summer,No,No,Poultry,Water,Geography,7,8,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",150,165,15,2,20,10,4,2,10,5,3,8,0,2,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,Relative,"Arts, culture, sports"
USA,FL,2019,"6         ",Female,11,Right-Handed,163,27,152,2,Walk,10,0.917,40,Walking/Hiking,400,400,700,700,800,1000,28,"Left foot",70,70,"Same length",November,Summer,No,No,Pizza/Pasta,Water,Art,9,12,4,"Yes - other","Cell phone",30,20,5,1,0.5,0.5,0.2,1.5,1,1.5,1,0.5,0,1,Some,"Graduate degree",Other,Fly,Happy,Friend,Health
USA,FL,2013,"12        ",Male,17,Left-Handed,182,27,183,2,Car,25,0.72,32,Lacrosse,526,497,742,850,600,1000,28,"Left foot",82,92,"Ring finger",November,Fall,No,No,"No favorite",Juice,Other,6,10,6,"Yes - broadband connection","Text messaging",200,180,10,12,7,45,20,6,4,80,50,16,0,12,"A lot","Graduate degree",Techno/Electronic,Invisibility,Happy,Other,Health
USA,FL,2019,"12        ",Male,17,Right-Handed,183.5,24.5,185,1,Car,30,.682,56,Soccer,,,,,,,25,"Right foot",80.5,80,"Index finger",March,Winter,Yes,No,Meat,Water,"Social studies",5,10,3,"Yes - broadband connection","Text messaging",50,55,2,.5,.5,5,4,5,6,3,8,6,30,1,Some,"Graduate degree",Other,Telepathy,Rich,Other,"International aid"
USA,FL,2019,"6         ",Male,12,Right-Handed,175,25.4,118,2,Car,30,0.26,9,Basketball,650,575,250,300,1000,1000,25.4,"Right foot",75.6,76.4,"Ring finger",October,Summer,Yes,No,Meat,Water,"Mathematics and statistics",7,5,5,"Yes - broadband connection","Cell phone",7,6,30,3,6,10,10,10,6,3,10,2,0,2,"A lot",Other,"Rap/Hip hop","Freeze time",Rich,Relative,Health
USA,FL,2015,"12        ",Male,17,Right-Handed,177.8,26,182,2,Car,40,0.651,40,Lacrosse,650,600,750,890,950,1000,27,"Left foot",8,7.6,"Index finger",November,Summer,No,No,Meat,Water,"Computers and technology",7,10,4,"Yes - broadband connection","Text messaging",5,6,12,1,9,5,10,0,4,5,18,0,0,1,Some,"Graduate degree",Pop,Fly,Happy,Other,Health
USA,FL,2017,"6         ",Male,13,Left-Handed,74,32,176,1,Car,5,0.938,18,"Football (American)",1000,1000,1000,1000,1000,1000,33,"Left foot",90,80,"Index finger",September,Winter,No,No,Desserts,Tea,"Mathematics and statistics",6,5,3,"Yes - other","In person",1,3,3,5,6,8,2,3,0,12,7,12,12,5,"Very little","Graduate degree",Gospel,"Super strength",Happy,"Religious figure","International aid"
USA,FL,2018,"12        ",Male,17,Right-Handed,187,24,187,2,Car,10,0.826,46,Golf,400,400,600,750,700,900,24,"Same length",100,100,"Index finger",December,Winter,No,No,Pizza/Pasta,Juice,History,8,6,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",300,300,10,10,1,3,10,0,4,4,4,0,0,0,Some,"Graduate degree",Pop,Invisibility,Rich,"Sports person",Health
USA,FL,2023,"12        ",Male,18,Right-Handed,182,26,182,1,Car,25,0.298,44,"Football (American)",0,0,0,0,1000,1000,26,"Same length",8,8.5,"Same length",October,Summer,No,No,Meat,Water,"Physical education",6,8,2,"Yes - other","Text messaging",34,34,1,1,3,4,6,5,7,8,8,7,9,9,Some,"Some college","Rap/Hip hop","Super strength",Rich,"Sports person",Environment
USA,FL,2015,"7         ",Female,12,Right-Handed,165,90,160,1,Car,25,0.805,59,Dancing,400,500,700,400,1000,1000,95,"Left foot",275,250,"Index finger",February,Summer,No,No,Meat,Coffee,Other,8,11,4,"Yes - broadband connection","Text messaging",40,30,7,40,10,6,3,1,0,16,100,0,0,1,Some,"Graduate degree",Pop,Invisibility,Rich,"Musician or singer","Wildlife, animals"
