Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MA,2019,"12        ",Male,18,Right-Handed,172,30,174,1,Car,"3 min",.358,54,"Martial Arts",1000,1000,1000,1000,442,208,30,"Same length",90,100,"Same length",June,Summer,Yes,No,Meat,Water,"Physical education",6-8,6-8,6,"Yes - other","Text messaging",5,7,1,0,0,24,24,0,4,2,5,10,30,7,Some,"Graduate degree",Classical,"Freeze time",Rich,Relative,"International aid"
USA,MA,2021,"11        ",Male,16,Right-Handed,180,25,178,1,Bus,10,0.272,35,Rowing,950,900,750,500,700,750,25,"Same length",100,100,"Same length",December,Spring,No,No,Breads/Sandwiches,Water,"Computers and technology",8,10,4,"Yes - broadband connection","In person",100,100,0,0,5,6,12,1,4,8,10,2,12,2,Some,"Graduate degree","Rock and roll",Fly,Rich,Relative,"Wildlife, animals"
USA,MA,2016,"8         ",Male,13,Right-Handed,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MA,2018,"12        ",Male,18,Right-Handed,176,38,40,2,Car,17,1.04,103,Soccer,1000,1000,500,500,500,1000,50,"Left foot",60,90,"Index finger",January,Summer,No,No,Meat,Coffee,"Physical education",6,10,4,"Yes - dial-up connection","Text messaging",150,200,1,4,0,2,2,1,2,1,0,0,8,3,Some,"Some college",Other,Invisibility,Rich,"Sports person","International aid"
USA,MA,2022,"12        ",Female,17,Right-Handed,163,27,157,2,Car,5,0.384,51,Dancing,385,444,642,364,791,845,28,"Left foot",80,70,"Index finger",July,Fall,No,No,"Rice/Noodle dishes",Coffee,Other,4,6,4,"Yes - broadband connection",Other,60,30,40,2,15,5,4,0,8,6,4,9,52,3,Some,"Graduate degree",Pop,Invisibility,Happy,"Doctor or nurse",Health
USA,MA,2020,"8         ",Female,13,Right-Handed,157,22,152,2,Car,2,0.731,47,Basketball,1000,1000,500,500,100,1000,22,"Same length",80,60,"Index finger",June,Summer,No,No,Salads,Water,"Social studies",4,3,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,70,0,60,10,48,25,3,84,55,84,20,0,8,"A lot","Some college",Pop,Invisibility,Happy,Relative,Other
USA,MA,2015,"8         ",Male,14,Right-Handed,178,27,187,1,Bus,5,0.06,66,"Hockey (Ice)",100,100,100,100,1000,1000,27,"Same length",3,2,"Same length",June,Winter,No,No,Desserts,"Sports drink","Physical education",4,10,5,"Yes - broadband connection","Text messaging",5,10,2,1,10,3,5,5,7,7,6,5,5,4,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Rich,"Sports person","Arts, culture, sports"
USA,MA,2021,"12        ",Male,18,Right-Handed,176,26,176,2,Car,15,"0.31 ",35,Golf,200,400,100,200,900,700,26,"Same length",77,81,"Ring finger",September,Winter,Yes,No,Pizza/Pasta,Water,"Computers and technology",8,10,4,"Yes - broadband connection","Cell phone",32,35,20,10,2,10,15,15,30,5,60,20,15,10,None,"Some college",Gospel,"Freeze time",Rich,Relative,Health
USA,MA,2018,"8         ",Female,13,Right-Handed,135,22,66,1,Walk,15,0.386,39,Gymnastics,1000,1000,1000,1000,1000,1000,22,"Right foot",6.5,8,"Same length",February,Winter,Yes,No,Vegetables,Water,Other,8,7,4,"Yes - other","Text messaging",100,200,1,1,7,7,5,1,4,6,5,4,3,7,Some,Other,Other,"Freeze time",Healthy,Other,"Education/Youth development"
USA,MA,2019,"12        ",Male,17,Right-Handed,188cm,28cm,179cm,1,Car,10,.429,49,Baseball/Softball,750,800,999,850,1000,1000,28,"Same length",7.5,7.5,"Ring finger",June,Winter,No,No,Poultry,Milk,"Computers and technology",6,4,6,"Yes - dial-up connection","Text messaging",3,5,3,6,2,5,4,10,10,3,6,2,0,2,None,"Graduate degree","Rap/Hip hop","Super strength",Rich,"Sports person","Arts, culture, sports"
